Emozioni,PleasureMean,Pleasuresd,ArousalMean,Arousalsd
Sadness,-0.63,0.23,-0.27,0.34
Suffering,-0.63,0.23,-0.27,0.34
Shame,-0.57,0.23,0.01,0.46
